,created_at,hours,full_text
103,2021-01-28 16:36:24+00:00,16.60666666666667,"This is unacceptable.

We now need to know more about @RobinhoodApp’s decision to block retail investors from purchasing stock while hedge funds are freely able to trade the stock as they see fit.

As a member of the Financial Services Cmte, I’d support a hearing if necessary. https://t.co/4Qyrolgzyt"
104,2021-01-28 16:11:52+00:00,16.197777777777777,@4lisaguerrero Thanks! I’ve actually been trying some new drugstore items in my skincare. The Cerave Vit C serum is legit! I tried a fancier one before that but it turned orange too fast. I’ve also been using either the Cerave tinted sunscreen or @iliabeauty super serum w/ a little powder. ☺️
105,2021-01-28 02:51:28+00:00,2.8577777777777778,"RT @thereidout: ""This is not new in the Republican Party ... This is the party of the Willie Horton ad. This is the party of Mitch McConnel…"
106,2021-01-28 01:54:27+00:00,1.9075,"RT @briantylercohen: .@AOC: ""When I hear that Rep McCarthy is going to pull a member aside who has made white supremacist sympathizing comm…"
107,2021-01-28 01:53:06+00:00,1.885,Republican members of Congress don’t want consequences for white supremacy or insurrection against the United States because their political strategy is to embrace white supremacists and the scepter of the Confederacy to get power in the first place. https://t.co/WykDsPUnCI
108,2021-01-28 01:33:14+00:00,1.5538888888888889,RT @justicedems: “[Biden had] a good-faith openness and relationship to activist communities...Saying ‘we are not going to be resistant to…
109,2021-01-28 01:32:53+00:00,1.5480555555555555,RT @allinwithchris: “There are no consequences in the Republican caucus for violence. No consequences for racism. No consequences for misog…
110,2021-01-28 01:28:10+00:00,1.4694444444444446,"RT @allinwithchris: “I’m feeling extraordinarily encouraged,” says @AOC discussing Biden’s executive orders on climate. https://t.co/e41hk8…"
111,2021-01-28 01:25:38+00:00,1.4272222222222224,"RT @eliza_relman: .@AOC says Kevin McCarthy ""answers to these QAnon members of Congress, not the other way around."" 

""When I hear that Rep…"
112,2021-01-28 01:23:01+00:00,1.3836111111111111,"RT @kurtbardella: .@AOC is 100% right on @allinwithchris  

no consequences = condoning it

When Republicans see racism or sexism or domest…"
113,2021-01-27 23:52:02+00:00,23.86722222222222,RT @allinwithchris: TONIGHT: Tune in as @AOC joins @chrislhayes on @MSNBC at 8 p.m. ET. #inners https://t.co/UUemvGsUuK
114,2021-01-27 21:08:23+00:00,21.139722222222222,"Anyways, Tax the Rich"
115,2021-01-27 21:06:15+00:00,21.104166666666668,Gotta admit it’s really something to see Wall Streeters with a long history of treating our economy as a casino complain about a message board of posters also treating the market as a casino
